Production_ID,Date,Production_Line,Shift,Machine_ID,Operator_ID,Product,Planned_Qty,Produced_Qty,Scrap_Qty,Downtime_Minutes,Downtime_Reason,Efficiency_Percent,Scrap_Rate_Percent
PRD00046,2025-11-25,Rolling Line,B,MC007,OP006,Steel Strip,2327,2229,98,48,Material Shortage,94.5,4.21
PRD00047,2025-06-16,Rolling Line,B,MC007,OP024,Steel Strip,2483,2386,97,128,Tool Change,91.6,3.91
PRD00048,2025-10-01,Finishing Line,A,MC017,OP002,GI Sheet,1136,1096,40,14,Power Failure,98.6,3.52
PRD00049,2025-03-30,Rolling Line,C,MC006,OP001,Steel Strip,1767,1701,66,61,Material Shortage,92.2,3.74
PRD00050,2025-11-12,Cut-to-Length Line,B,MC019,OP007,CR Sheet,2129,2066,63,0,Scheduled Maintenance,93.5,2.96
PRD00051,2025-01-14,Slitting Line,C,MC018,OP019,GI Sheet,2416,2346,70,74,Quality Inspection,91.1,2.9
PRD00052,2025-08-30,Cut-to-Length Line,B,MC012,OP014,CR Coil,1736,1712,24,56,Quality Inspection,93.6,1.38
PRD00053,2025-09-22,Pickling Line,C,MC019,OP004,HR Coil,536,525,11,33,Material Shortage,94.5,2.05
PRD00054,2025-12-12,Slitting Line,C,MC011,OP016,GI Sheet,1905,1800,105,81,Tool Change,91.4,5.51
PRD00055,2025-02-22,Finishing Line,C,MC017,OP014,Steel Plate,1097,1037,60,0,Quality Inspection,99.0,5.47
PRD00056,2025-12-06,Pickling Line,A,MC003,OP023,CR Sheet,687,677,10,22,Power Failure,99.0,1.46
PRD00057,2025-04-02,Finishing Line,A,MC015,OP018,GP Coil,1682,1650,32,4,Quality Inspection,97.7,1.9
PRD00058,2025-09-21,Slitting Line,C,MC005,OP029,Steel Plate,801,763,38,54,Scheduled Maintenance,89.4,4.74
PRD00059,2025-02-04,Finishing Line,C,MC004,OP007,CR Sheet,1654,1611,43,21,Power Failure,93.6,2.6
PRD00060,2025-07-25,Cut-to-Length Line,A,MC001,OP004,HR Sheet,2018,1966,52,64,Quality Inspection,92.1,2.58
PRD00061,2025-03-22,Finishing Line,C,MC003,OP025,Steel Strip,1319,1299,20,32,Scheduled Maintenance,92.2,1.52
PRD00062,2025-02-19,Pickling Line,B,MC010,OP001,GP Coil,1768,1741,27,53,Tool Change,97.3,1.53
PRD00063,2025-12-26,Pickling Line,A,MC013,OP019,HR Sheet,2117,2030,87,53,Quality Inspection,99.0,4.11
PRD00064,2025-01-02,Cut-to-Length Line,B,MC007,OP024,HR Coil,595,578,17,8,Material Shortage,93.9,2.86
PRD00065,2025-02-23,Finishing Line,C,MC014,OP023,gi sHEET,895,855,40,24,Quality Inspection,90.3,4.47
PRD00066,2025-04-16,Finishing Line,B,MC013,OP018,GP Coil,2285,2243,42,8,Scheduled Maintenance,98.0,1.84
PRD00067,2025-09-17,Slitting Line,C,MC005,OP021,HR Sheet,647,634,13,50,Material Shortage,91.9,2.01
PRD00068,2025-11-06,Cut-to-Length Line,A,MC011,OP007,HR Coil,1930,1910,20,71,Power Failure,98.1,1.04
PRD00069,2025-07-10,Rolling Line,C,MC014,OP021,Steel Plate,2320,2240,80,106,Material Shortage,94.6,3.45
PRD00070,2025-08-06,Pickling Line,C,MC001,OP026,CR Sheet,2051,1960,91,108,Power Failure,97.8,4.44
PRD00071,2025-02-13,Rolling Line,B,MC005,OP016,GP Coil,2135,2086,49,138,Mechanical Failure,91.0,2.3
PRD00072,2025-06-11,Slitting Line,A,MC003,OP027,Steel Strip,1939,1851,88,71,Scheduled Maintenance,96.3,4.54
PRD00073,2025-07-21,Finishing Line,B,MC001,OP017,GI Sheet,555,539,16,12,Tool Change,94.6,2.88
PRD00074,2025-09-27,Rolling Line,C,MC017,OP021,Steel Strip,756,728,28,161,Tool Change,95.6,3.7
PRD00075,2025-12-17,Cut-to-Length Line,A,MC020,OP026,Steel Plate,1436,1355,81,70,Material Shortage,99.0,5.64
PRD00076,2025-10-31,Pickling Line,B,MC012,OP019,HR Coil,1880,1853,27,101,Quality Inspection,93.0,1.44
PRD00077,2025-09-28,Rolling Line,A,MC013,OP001,Steel Plate,1358,1316,42,106,Quality Inspection,96.4,3.09
PRD00078,2025-08-03,Slitting Line,B,MC006,OP026,GP Coil,1349,1314,35,0,Material Shortage,94.8,2.59
PRD00079,2025-09-09,Pickling Line,B,MC003,OP027,Steel Strip,2487,2422,65,71,Quality Inspection,95.4,2.61
PRD00080,2025-07-09,Rolling Line,C,MC011,OP016,Steel Strip,784,756,28,93,Mechanical Failure,93.9,3.57
PRD00081,2025-10-23,Finishing Line,B,MC011,OP020,CR Sheet,1851,1791,60,14,Quality Inspection,96.2,3.24
PRD00082,2025-08-01,Finishing Line,B,MC010,OP007,CR Coil,1611,1592,19,26,Mechanical Failure,99.0,1.18
PRD00083,2025-07-27,Rolling Line,C,MC011,OP007,CR Coil,637,626,11,78,Material Shortage,92.2,1.73
PRD00084,2025-08-25,Rolling Line,A,MC016,OP015,GI Sheet,730,713,17,96,Mechanical Failure,95.6,2.33
PRD00085,2025-12-04,Pickling Line,B,MC020,OP002,HR Coil,2287,2266,21,42,Scheduled Maintenance,95.9,0.92
PRD00086,2025-02-22,Cut-to-Length Line,C,MC010,OP013,GI Sheet,2255,2220,35,59,Material Shortage,91.1,1.55
PRD00087,2025-10-07,Slitting Line,A,MC012,OP002,GP Coil,2486,2435,51,35,Scheduled Maintenance,96.2,2.05
PRD00088,2025-08-05,Rolling Line,A,MC019,OP017,HR Coil,1501,1471,30,62,Material Shortage,94.4,2.0
PRD00089,2025-09-09,Pickling Line,B,MC009,OP002,CR Coil,2343,2309,34,53,Scheduled Maintenance,93.4,1.45
PRD00090,2025-07-07,Finishing Line,B,MC004,OP015,Steel Plate,1078,1015,63,28,Tool Change,96.2,5.84
PRD00091,2025-02-10,Slitting Line,A,MC015,,Steel Plate,1252,1177,75,21,Tool Change,99.0,5.99
PRD00092,2025-06-06,Pickling Line,C,MC007,OP025,CR Sheet,2058,1984,74,43,Quality Inspection,91.8,3.6
PRD00093,2025-01-15,Finishing Line,B,MC005,OP016,GP Coil,654,641,13,18,Mechanical Failure,94.7,1.99
PRD00094,2025-10-28,Cut-to-Length Line,C,MC019,OP011,HR Sheet,2077,1998,79,87,Power Failure,93.7,3.8
PRD00095,2025-03-06,Cut-to-Length Line,A,MC015,OP012,GP Coil,2059,2019,40,67,Material Shortage,92.8,1.94
PRD00096,2025-12-11,Pickling Line,C,MC006,OP009,CR Sheet,818,794,24,24,Tool Change,93.5,2.93
PRD00097,2025-11-23,Finishing Line,C,MC020,OP007,HR Sheet,2398,2328,70,23,Tool Change,91.4,2.92
PRD00098,2025-01-09,Cut-to-Length Line,C,MC015,OP011,HR Coil,1531,1516,15,71,Quality Inspection,88.5,0.98
PRD00099,2025-12-10,Finishing Line,B,MC017,OP019,HR Sheet,1915,1845,70,29,Mechanical Failure,99.0,3.66
PRD00100,2025-05-09,Cut-to-Length Line,B,MC019,OP024,CR Coil,1954,1940,14,45,Mechanical Failure,93.9,0.72
PRD00101,2025-05-16,Cut-to-Length Line,B,MC003,OP004,Steel Plate,2308,2186,122,68,Tool Change,95.7,5.29
PRD00102,2025-03-04,Slitting Line,C,MC018,OP029,HR Coil,1556,1529,27,48,Mechanical Failure,96.3,1.74
PRD00103,2025-05-19,Slitting Line,C,MC010,OP005,Steel Strip,1907,1895,12,49,Mechanical Failure,91.7,0.63
PRD00104,2025-03-22,Cut-to-Length Line,A,MC015,OP026,Steel Strip,1533,1480,53,61,Quality Inspection,97.5,3.46
PRD00105,2025-06-12,Slitting Line,C,MC018,OP021,Steel Strip,1891,1794,97,88,Tool Change,93.4,5.13
PRD00106,2025-10-16,Pickling Line,C,MC015,OP002,HR Coil,2264,2200,64,102,Quality Inspection,92.0,2.83
PRD00107,2025-09-18,Slitting Line,B,MC019,OP016,CR Sheet,2174,2118,56,66,Mechanical Failure,90.0,2.58
PRD00108,2025-08-19,Finishing Line,A,MC020,OP009,HR Coil,1997,1964,33,18,Power Failure,93.8,1.65
PRD00109,2025-02-10,Rolling Line,C,MC005,OP015,CR Sheet,2031,1978,53,104,Material Shortage,90.0,2.61
PRD00110,2025-01-28,Finishing Line,B,MC011,OP030,GI Sheet,550,532,18,18,Material Shortage,95.0,3.27
PRD00111,2025-05-15,Cut-to-Length Line,C,MC009,OP022,HR Sheet,1492,1462,30,58,Quality Inspection,97.3,2.01
PRD00112,2025-07-20,Rolling Line,C,MC005,OP014,HR Coil,990,970,20,65,Mechanical Failure,95.1,2.02
PRD00113,2025-11-24,Pickling Line,A,MC011,OP016,Steel Strip,2149,2072,77,15,Quality Inspection,94.5,3.58
PRD00114,2025-09-25,Slitting Line,B,MC007,OP006,HR Sheet,2363,2282,81,0,Material Shortage,89.6,3.43
PRD00115,2025-02-02,Slitting Line,B,MC002,OP001,CR Sheet,1168,1131,37,35,Mechanical Failure,96.3,3.17
PRD00116,2025-02-17,Slitting Line,C,MC020,OP018,HR Coil,1985,1947,38,31,Tool Change,94.7,1.91
PRD00117,2025-03-03,Rolling Line,A,MC020,OP015,Steel Strip,1095,1052,43,54,Tool Change,99.0,3.93
PRD00118,2025-08-04,Finishing Line,A,MC019,OP020,Steel Strip,1813,1772,41,35,Mechanical Failure,96.5,2.26
PRD00119,2025-10-20,Rolling Line,C,MC018,OP012,HR Sheet,2395,2372,23,51,Quality Inspection,88.8,0.96
PRD00120,2025-04-09,Cut-to-Length Line,A,MC016,OP029,HR Coil,2153,2097,56,29,Material Shortage,96.7,2.6
PRD00121,2025-06-21,Slitting Line,C,MC001,OP024,HR Sheet,894,879,15,67,Tool Change,87.1,1.68
PRD00122,2025-12-26,Cut-to-Length Line,A,MC003,OP008,HR Coil,1659,1637,22,55,Mechanical Failure,97.5,1.33
PRD00123,2025-08-02,Slitting Line,B,MC009,OP009,GI Sheet,2292,2206,86,32,Material Shortage,91.5,3.75
PRD00124,2025-02-04,Cut-to-Length Line,B,MC017,OP001,GP Coil,2318,2306,12,55,Mechanical Failure,92.0,0.52
PRD00125,2025-08-15,Cut-to-Length Line,B,MC008,OP016,Steel Strip,1730,1659,71,82,Tool Change,96.2,4.1
PRD00126,2025-04-11,Cut-to-Length Line,C,MC016,OP014,CR Sheet,1382,1363,19,57,Power Failure,91.8,1.37
PRD00127,2025-05-11,Rolling Line,A,MC012,OP012,GI Sheet,1700,1648,52,79,Material Shortage,98.8,3.06
PRD00128,2025-09-14,Cut-to-Length Line,B,MC004,OP015,HR Sheet,1287,1254,33,59,Material Shortage,95.0,2.56
PRD00129,2025-01-05,Slitting Line,B,MC005,OP027,HR Coil,721,710,11,50,Scheduled Maintenance,97.0,1.53
PRD00130,2025-08-06,Rolling Line,B,MC007,OP028,CR Sheet,1384,1343,41,58,Material Shortage,95.4,2.96
PRD00131,2025-09-12,Slitting Line,B,MC018,OP008,HR Sheet,546,534,12,11,Power Failure,92.0,2.2
PRD00132,2025-12-25,Pickling Line,A,MC020,OP004,CR Sheet,777,772,5,54,Quality Inspection,98.3,0.64
PRD00133,2025-10-10,Pickling Line,C,MC014,OP027,HR Sheet,1984,1924,60,32,Material Shortage,89.5,3.02
PRD00134,2025-07-26,Cut-to-Length Line,B,MC008,OP005,GP Coil,2009,1992,17,67,Tool Change,95.9,0.85
PRD00135,2025-01-15,Slitting Line,A,MC013,OP026,GI Sheet,1994,1882,112,20,Mechanical Failure,99.0,5.62
PRD00136,2025-12-12,Slitting Line,B,MC004,OP021,HR Sheet,1545,1504,41,61,Quality Inspection,94.4,2.65
PRD00137,2025-02-11,Rolling Line,A,MC012,OP014,CR Sheet,1718,1681,37,54,Quality Inspection,97.5,2.15
PRD00138,2025-06-28,Cut-to-Length Line,A,MC003,OP027,CR Coil,2161,2108,53,52,Tool Change,93.8,2.45
PRD00139,2025-03-04,Pickling Line,A,MC005,OP007,CR Coil,834,821,13,29,Material Shortage,96.8,1.56
PRD00140,2025-12-18,Slitting Line,A,MC004,OP015,HR Coil,1765,1756,9,65,Quality Inspection,95.6,0.51
PRD00141,2025-08-19,Cut-to-Length Line,A,MC015,OP019,HR Coil,1600,1568,32,70,Tool Change,98.1,2.0
PRD00142,2025-08-29,Pickling Line,B,MC005,OP021,Steel Plate,1602,1519,83,26,Material Shortage,93.7,5.18
PRD00143,2025-02-21,Pickling Line,B,MC009,OP014,HR Sheet,1835,1797,38,100,Tool Change,95.8,2.07
PRD00144,2025-04-06,Pickling Line,B,MC014,OP007,HR Sheet,521,502,19,30,Material Shortage,91.2,3.65
PRD00145,2025-08-10,Cut-to-Length Line,A,MC016,OP006,CR Coil,2239,2210,29,38,Tool Change,93.4,1.3
PRD00146,2025-08-19,Cut-to-Length Line,C,MC003,OP002,CR Sheet,1123,1101,22,70,Power Failure,91.9,1.96
PRD00147,2025-08-25,Slitting Line,C,MC015,OP024,GP Coil,2463,2446,17,70,Material Shortage,93.1,0.69
PRD00148,2025-05-23,Rolling Line,C,MC018,OP029,HR Sheet,580,564,16,83,Tool Change,90.9,2.76
PRD00149,2025-06-20,Rolling Line,B,MC018,OP025,CR Sheet,1005,964,41,90,Power Failure,96.9,4.08
PRD00150,2025-01-29,Cut-to-Length Line,B,MC014,OP009,GP Coil,2419,2393,26,64,Quality Inspection,97.5,1.07
PRD00151,2025-02-05,Finishing Line,A,MC007,OP025,Steel Strip,944,900,44,14,Power Failure,98.2,4.66
PRD00152,2025-01-13,Slitting Line,C,MC020,OP018,CR Sheet,2413,2336,77,48,Power Failure,93.4,3.19
PRD00153,2025-06-09,Rolling Line,A,MC006,OP015,Steel Strip,1491,1420,71,119,Mechanical Failure,97.2,4.76
PRD00154,2025-11-23,Cut-to-Length Line,A,MC016,OP015,Steel Plate,1952,1837,115,100,Mechanical Failure,93.4,5.89
PRD00155,2025-07-06,Finishing Line,B,MC019,OP010,CR Coil,668,665,3,28,Tool Change,93.1,0.45
PRD00156,2025-08-31,Finishing Line,B,MC009,OP003,GI Sheet,549,526,23,33,Material Shortage,94.7,4.19
PRD00157,2025-03-27,Cut-to-Length Line,B,MC020,OP004,CR Sheet,1853,1806,47,76,Mechanical Failure,94.4,2.54
PRD00158,2025-10-11,Finishing Line,A,MC001,OP002,GI Sheet,2272,2203,69,16,Material Shortage,94.5,3.04
PRD00159,2025-03-07,Rolling Line,B,MC018,OP022,GP Coil,2206,2190,16,112,Material Shortage,93.8,0.73
PRD00160,2025-06-19,Rolling Line,C,MC014,OP028,HR Sheet,2408,2321,87,36,Mechanical Failure,96.1,3.61
PRD00161,2025-02-14,Rolling Line,C,MC014,OP007,GI Sheet,2437,2398,39,73,Material Shortage,97.0,1.6
PRD00162,2025-03-03,Cut-to-Length Line,B,MC008,OP025,HR Coil,1692,1668,24,107,Quality Inspection,93.2,1.42
PRD00163,2025-05-14,Rolling Line,B,MC017,OP001,HR Coil,1478,1471,7,70,Quality Inspection,94.6,0.47
PRD00164,2025-10-11,Pickling Line,A,MC018,OP012,CR Sheet,2142,2091,51,52,Power Failure,95.7,2.38
PRD00165,2025-01-28,Pickling Line,A,MC015,OP023,Steel Plate,2277,2186,91,34,Mechanical Failure,98.5,4.0
PRD00166,2025-04-18,Slitting Line,A,MC010,OP005,HR Sheet,590,567,23,24,Material Shortage,95.8,3.9
PRD00167,2025-02-13,Finishing Line,B,MC020,OP016,GI Sheet,1019,991,28,23,Material Shortage,95.6,2.75
PRD00168,2025-12-06,Rolling Line,C,MC016,OP003,CR Sheet,876,857,19,86,Quality Inspection,91.1,2.17
PRD00169,2025-10-13,Slitting Line,B,MC007,OP011,Steel Plate,1029,988,41,72,Mechanical Failure,96.7,3.98
PRD00170,2025-11-27,Cut-to-Length Line,A,MC017,OP015,CR Coil,1377,1358,19,22,Power Failure,94.6,1.38
PRD00171,2025-05-08,Rolling Line,B,MC005,OP005,GI Sheet,1361,1332,29,99,Mechanical Failure,94.6,2.13
PRD00172,2025-12-14,Cut-to-Length Line,A,MC018,OP006,GP Coil,2222,2197,25,71,Tool Change,97.4,1.13
PRD00173,2025-08-19,Finishing Line,C,MC014,OP004,GP Coil,1676,1613,63,14,Mechanical Failure,90.1,3.76
PRD00174,2025-07-09,Finishing Line,A,MC018,OP012,HR Sheet,1574,1530,44,29,Mechanical Failure,95.1,2.8
PRD00175,2025-08-13,Finishing Line,B,MC018,OP010,CR Coil,1140,1122,18,2,Quality Inspection,93.2,1.58
PRD00176,2025-10-10,Slitting Line,C,MC015,OP009,HR Coil,1881,1851,30,18,Material Shortage,96.5,1.59
PRD00177,2025-05-01,Pickling Line,A,MC011,OP001,HR Coil,2245,2210,35,9,Tool Change,99.0,1.56
PRD00178,2025-04-26,Rolling Line,A,MC005,OP028,HR Coil,676,663,13,64,Mechanical Failure,97.2,1.92
PRD00179,2025-08-21,Slitting Line,B,MC016,OP010,GI Sheet,1985,1899,86,51,Material Shortage,92.9,4.33
PRD00180,2025-09-16,Rolling Line,A,MC008,OP006,Steel Plate,1511,1479,32,89,Mechanical Failure,95.8,2.12
PRD00181,2025-12-25,Slitting Line,B,MC013,OP014,CR Coil,1152,1133,19,33,Mechanical Failure,93.8,1.65
PRD00182,2025-07-17,Finishing Line ,C,MC017,OP026,Steel Strip,1506,1416,90,40,Tool Change,95.1,5.98
PRD00183,2025-05-17,Slitting Line,A,MC009,OP027,CR Sheet,844,817,27,48,Mechanical Failure,95.4,3.2
PRD00184,2025-11-14,Pickling Line,B,MC015,OP011,CR Sheet,819,796,23,8,Tool Change,95.9,2.81
PRD00185,2025-06-14,Pickling Line,C,MC007,OP028,GI Sheet,1019,988,31,94,Mechanical Failure,94.2,3.04
PRD00186,2025-08-13,Pickling Line,B,MC018,OP014,GP Coil,1455,1423,32,88,Power Failure,90.5,2.2
PRD00187,2025-11-03,Finishing Line,C,MC014,OP011,Steel Plate,646,610,36,31,Material Shortage,93.3,5.57
PRD00188,2025-08-22,Slitting Line,A,MC008,OP002,Steel Plate,1585,1496,89,52,Mechanical Failure,95.8,5.62
PRD00189,2025-06-21,Cut-to-Length Line,C,MC002,OP029,GI Sheet,1435,1379,56,64,Material Shortage,92.3,3.9
PRD00190,2025-06-01,Pickling Line,B,MC018,OP023,GP Coil,873,852,21,26,Mechanical Failure,94.0,2.41
PRD00191,2025-11-11,Rolling Line,C,MC004,OP025,Steel Plate,1832,1766,66,84,Material Shortage,94.1,3.6
PRD00192,2025-06-09,Pickling Line,A,MC002,OP028,GI Sheet,1124,1092,32,51,Material Shortage,93.9,2.85
PRD00193,2025-04-06,Finishing Line,A,MC010,OP022,GP Coil,860,850,10,23,Power Failure,94.7,1.16
PRD00194,2025-08-21,Rolling Line,A,MC006,OP027,Steel Strip,1381,1333,48,63,Quality Inspection,93.1,3.48
PRD00195,2025-06-29,Rolling Line,C,MC011,OP015,GI Sheet,1372,1350,22,17,Mechanical Failure,91.3,1.6
PRD00196,2025-04-23,Rolling Line,B,MC020,OP027,Steel Strip,1896,1840,56,113,Tool Change,92.4,2.95
PRD00197,2025-11-14,Cut-to-Length Line,C,MC010,OP010,HR Sheet,502,496,6,56,Scheduled Maintenance,98.9,1.2
PRD00198,2025-02-21,Cut-to-Length Line,A,MC017,OP027,GP Coil,1389,1382,7,51,Quality Inspection,94.4,0.5
PRD00199,2025-09-25,Pickling Line,A,MC008,OP025,HR Sheet,1040,1030,10,60,Quality Inspection,96.6,0.96
PRD00200,2025-10-22,Pickling Line,A,MC006,OP028,CR Coil,579,576,3,74,Tool Change,98.9,0.52
PRD00201,2025-04-23,Finishing Line,B,MC016,OP011,Steel Strip,1914,1822,92,11,Scheduled Maintenance,95.6,4.81
PRD00202,2025-04-11,Cut-to-Length Line,C,MC010,OP008,CR Sheet,2097,2055,42,75,Material Shortage,91.7,2.0
PRD00203,2025-04-23,Finishing Line,B,MC019,OP021,HR Coil,2472,2434,38,27,Mechanical Failure,93.7,1.54
PRD00204,2025-03-22,Finishing Line,C,MC004,OP008,GI Sheet,1096,1081,15,26,Mechanical Failure,97.5,1.37
PRD00205,2025-07-06,Cut-to-Length Line,A,MC002,OP005,HR Sheet,1761,1728,33,70,Material Shortage,96.6,1.87
PRD00206,2025-04-23,Pickling Line,C,MC020,OP024,HR Sheet,1182,1143,39,63,Scheduled Maintenance,99.0,3.3
PRD00207,2025-01-02,Finishing Line,C,MC002,OP014,GI Sheet,2305,2223,82,20,Quality Inspection,93.1,3.56
PRD00208,2025-05-10,Finishing Line,A,MC012,OP030,GI Sheet,1434,1380,54,29,Tool Change,95.9,3.77
PRD00209,2025-08-08,Rolling Line,A,MC004,OP016,GI Sheet,779,755,24,81,Mechanical Failure,98.7,3.08
PRD00210,2025-02-23,Rolling Line,B,MC016,OP023,CR Coil,1507,1482,25,136,Quality Inspection,94.0,1.66
PRD00211,2025-12-09,Finishing Line,A,MC002,OP028,Steel Strip,1745,1686,59,36,Material Shortage,99.0,3.38
PRD00212,2025-08-12,Slitting Line,C,MC016,OP021,HR Sheet,747,722,25,71,Mechanical Failure,96.2,3.35
PRD00213,2025-08-13,Finishing Line,C,MC015,OP024,HR Coil,1300,1267,33,0,Mechanical Failure,87.5,2.54
PRD00214,2025-05-06,Slitting Line,C,MC014,OP013,CR Sheet,871,855,16,32,Tool Change,90.6,1.84
PRD00215,2025-05-10,Rolling Line,C,MC011,OP022,Steel Strip,1353,1328,25,149,Power Failure,93.3,1.85
PRD00216,2025-02-22,Rolling Line,A,MC015,OP007,HR Coil,1469,1426,43,25,Tool Change,98.6,2.93
PRD00217,2025-06-21,Rolling Line,A,MC006,OP027,Steel Plate,2097,1971,126,157,Tool Change,95.2,6.01
PRD00218,2025-08-06,Slitting Line,C,MC016,OP005,CR Coil,2097,2079,18,53,Quality Inspection,95.0,0.86
PRD00219,2025-06-09,Pickling Line,B,MC001,OP015,HR Coil,958,943,15,49,Mechanical Failure,93.2,1.57
PRD00220,2025-07-17,Cut-to-Length Line,C,MC011,OP024,HR Coil,962,932,30,45,Mechanical Failure,93.1,3.12
