Production_ID,Date,Production_Line,Shift,Machine_ID,Operator_ID,Product,Planned_Qty,Produced_Qty,Scrap_Qty,Downtime_Minutes,Downtime_Reason,Efficiency_Percent,Scrap_Rate_Percent,Good_Qty,Production_Loss,Downtime_Hours,Month,Quarter,Week,Day_Name,Efficiency_Category
PRD00035,2025-07-09,Cut-To-Length Line,B,MC014,OP009,HR Coil,2019,1942,77,40,Tool Change,96.6,3.81,1865,77,0.67,July,3,28,Wednesday,High
PRD00036,2025-06-24,Slitting Line,A,MC004,OP001,Steel Plate,673,641,32,34,Scheduled Maintenance,93.5,4.75,609,32,0.57,June,2,26,Tuesday,Medium
PRD00037,2025-02-20,Slitting Line,B,MC002,OP003,Steel Strip,1764,1707,57,49,Quality Inspection,99.0,3.23,1650,57,0.82,February,1,8,Thursday,High
PRD00038,2025-12-30,Pickling Line,B,MC013,OP016,GI Sheet,594,576,18,16,Scheduled Maintenance,96.2,3.03,558,18,0.27,December,4,1,Tuesday,High
PRD00039,2025-02-24,Rolling Line,A,MC007,OP011,CR Sheet,2201,2088,113,29,Quality Inspection,91.5,5.13,1975,113,0.48,February,1,9,Monday,Medium
PRD00040,2025-09-01,Rolling Line,C,MC008,OP007,Steel Plate,1626,1554,72,150,Material Shortage,91.6,4.43,1482,72,2.5,September,3,36,Monday,Medium
PRD00041,2025-11-16,Rolling Line,C,MC010,OP020,CR Sheet,1652,1600,52,85,Scheduled Maintenance,90.3,3.15,1548,52,1.42,November,4,46,Sunday,Medium
PRD00042,2025-05-11,Cut-To-Length Line,C,MC003,OP013,GP Coil,584,575,9,83,Mechanical Failure,93.6,1.54,566,9,1.38,May,2,19,Sunday,Medium
PRD00043,2025-11-03,Rolling Line,B,MC004,OP006,GP Coil,769,755,14,107,Tool Change,97.7,1.82,741,14,1.78,November,4,45,Monday,High
PRD00044,2025-05-15,Rolling Line,C,MC006,OP023,HR Sheet,1759,1710,49,85,Tool Change,90.6,2.79,1661,49,1.42,May,2,20,Thursday,Medium
PRD00045,2025-01-21,Slitting Line,C,MC020,OP012,HR Coil,1049,1032,17,43,Quality Inspection,94.1,1.62,1015,17,0.72,January,1,4,Tuesday,Medium
PRD00046,2025-11-25,Rolling Line,B,MC007,OP006,Steel Strip,2327,2229,98,48,Material Shortage,94.5,4.21,2131,98,0.8,November,4,48,Tuesday,Medium
PRD00047,2025-06-16,Rolling Line,B,MC007,OP024,Steel Strip,2483,2386,97,128,Tool Change,91.6,3.91,2289,97,2.13,June,2,25,Monday,Medium
PRD00048,2025-10-01,Finishing Line,A,MC017,OP002,GI Sheet,1136,1096,40,14,Power Failure,98.6,3.52,1056,40,0.23,October,4,40,Wednesday,High
PRD00049,2025-03-30,Rolling Line,C,MC006,OP001,Steel Strip,1767,1701,66,61,Material Shortage,92.2,3.74,1635,66,1.02,March,1,13,Sunday,Medium
PRD00050,2025-11-12,Cut-To-Length Line,B,MC019,OP007,CR Sheet,2129,2066,63,0,Scheduled Maintenance,93.5,2.96,2003,63,0.0,November,4,46,Wednesday,Medium
PRD00051,2025-01-14,Slitting Line,C,MC018,OP019,GI Sheet,2416,2346,70,74,Quality Inspection,91.1,2.9,2276,70,1.23,January,1,3,Tuesday,Medium
PRD00052,2025-08-30,Cut-To-Length Line,B,MC012,OP014,CR Coil,1736,1712,24,56,Quality Inspection,93.6,1.38,1688,24,0.93,August,3,35,Saturday,Medium
PRD00053,2025-09-22,Pickling Line,C,MC019,OP004,HR Coil,536,525,11,33,Material Shortage,94.5,2.05,514,11,0.55,September,3,39,Monday,Medium
PRD00054,2025-12-12,Slitting Line,C,MC011,OP016,GI Sheet,1905,1800,105,81,Tool Change,91.4,5.51,1695,105,1.35,December,4,50,Friday,Medium
PRD00055,2025-02-22,Finishing Line,C,MC017,OP014,Steel Plate,1097,1037,60,0,Quality Inspection,99.0,5.47,977,60,0.0,February,1,8,Saturday,High
PRD00056,2025-12-06,Pickling Line,A,MC003,OP023,CR Sheet,687,677,10,22,Power Failure,99.0,1.46,667,10,0.37,December,4,49,Saturday,High
PRD00057,2025-04-02,Finishing Line,A,MC015,OP018,GP Coil,1682,1650,32,4,Quality Inspection,97.7,1.9,1618,32,0.07,April,2,14,Wednesday,High
PRD00058,2025-09-21,Slitting Line,C,MC005,OP029,Steel Plate,801,763,38,54,Scheduled Maintenance,89.4,4.74,725,38,0.9,September,3,38,Sunday,Low
PRD00059,2025-02-04,Finishing Line,C,MC004,OP007,CR Sheet,1654,1611,43,21,Power Failure,93.6,2.6,1568,43,0.35,February,1,6,Tuesday,Medium
PRD00060,2025-07-25,Cut-To-Length Line,A,MC001,OP004,HR Sheet,2018,1966,52,64,Quality Inspection,92.1,2.58,1914,52,1.07,July,3,30,Friday,Medium
PRD00061,2025-03-22,Finishing Line,C,MC003,OP025,Steel Strip,1319,1299,20,32,Scheduled Maintenance,92.2,1.52,1279,20,0.53,March,1,12,Saturday,Medium
PRD00062,2025-02-19,Pickling Line,B,MC010,OP001,GP Coil,1768,1741,27,53,Tool Change,97.3,1.53,1714,27,0.88,February,1,8,Wednesday,High
PRD00063,2025-12-26,Pickling Line,A,MC013,OP019,HR Sheet,2117,2030,87,53,Quality Inspection,99.0,4.11,1943,87,0.88,December,4,52,Friday,High
PRD00064,2025-01-02,Cut-To-Length Line,B,MC007,OP024,HR Coil,595,578,17,8,Material Shortage,93.9,2.86,561,17,0.13,January,1,1,Thursday,Medium
PRD00065,2025-02-23,Finishing Line,C,MC014,OP023,GI Sheet,895,855,40,24,Quality Inspection,90.3,4.47,815,40,0.4,February,1,8,Sunday,Medium
PRD00066,2025-04-16,Finishing Line,B,MC013,OP018,GP Coil,2285,2243,42,8,Scheduled Maintenance,98.0,1.84,2201,42,0.13,April,2,16,Wednesday,High
PRD00067,2025-09-17,Slitting Line,C,MC005,OP021,HR Sheet,647,634,13,50,Material Shortage,91.9,2.01,621,13,0.83,September,3,38,Wednesday,Medium
PRD00068,2025-11-06,Cut-To-Length Line,A,MC011,OP007,HR Coil,1930,1910,20,71,Power Failure,98.1,1.04,1890,20,1.18,November,4,45,Thursday,High
PRD00069,2025-07-10,Rolling Line,C,MC014,OP021,Steel Plate,2320,2240,80,106,Material Shortage,94.6,3.45,2160,80,1.77,July,3,28,Thursday,Medium
PRD00070,2025-08-06,Pickling Line,C,MC001,OP026,CR Sheet,2051,1960,91,108,Power Failure,97.8,4.44,1869,91,1.8,August,3,32,Wednesday,High
PRD00071,2025-02-13,Rolling Line,B,MC005,OP016,GP Coil,2135,2086,49,138,Mechanical Failure,91.0,2.3,2037,49,2.3,February,1,7,Thursday,Medium
PRD00072,2025-06-11,Slitting Line,A,MC003,OP027,Steel Strip,1939,1851,88,71,Scheduled Maintenance,96.3,4.54,1763,88,1.18,June,2,24,Wednesday,High
PRD00073,2025-07-21,Finishing Line,B,MC001,OP017,GI Sheet,555,539,16,12,Tool Change,94.6,2.88,523,16,0.2,July,3,30,Monday,Medium
PRD00074,2025-09-27,Rolling Line,C,MC017,OP021,Steel Strip,756,728,28,161,Tool Change,95.6,3.7,700,28,2.68,September,3,39,Saturday,High
PRD00075,2025-12-17,Cut-To-Length Line,A,MC020,OP026,Steel Plate,1436,1355,81,70,Material Shortage,99.0,5.64,1274,81,1.17,December,4,51,Wednesday,High
PRD00076,2025-10-31,Pickling Line,B,MC012,OP019,HR Coil,1880,1853,27,101,Quality Inspection,93.0,1.44,1826,27,1.68,October,4,44,Friday,Medium
PRD00077,2025-09-28,Rolling Line,A,MC013,OP001,Steel Plate,1358,1316,42,106,Quality Inspection,96.4,3.09,1274,42,1.77,September,3,39,Sunday,High
PRD00078,2025-08-03,Slitting Line,B,MC006,OP026,GP Coil,1349,1314,35,0,Material Shortage,94.8,2.59,1279,35,0.0,August,3,31,Sunday,Medium
PRD00079,2025-09-09,Pickling Line,B,MC003,OP027,Steel Strip,2487,2422,65,71,Quality Inspection,95.4,2.61,2357,65,1.18,September,3,37,Tuesday,High
PRD00080,2025-07-09,Rolling Line,C,MC011,OP016,Steel Strip,784,756,28,93,Mechanical Failure,93.9,3.57,728,28,1.55,July,3,28,Wednesday,Medium
PRD00081,2025-10-23,Finishing Line,B,MC011,OP020,CR Sheet,1851,1791,60,14,Quality Inspection,96.2,3.24,1731,60,0.23,October,4,43,Thursday,High
PRD00082,2025-08-01,Finishing Line,B,MC010,OP007,CR Coil,1611,1592,19,26,Mechanical Failure,99.0,1.18,1573,19,0.43,August,3,31,Friday,High
PRD00083,2025-07-27,Rolling Line,C,MC011,OP007,CR Coil,637,626,11,78,Material Shortage,92.2,1.73,615,11,1.3,July,3,30,Sunday,Medium
PRD00084,2025-08-25,Rolling Line,A,MC016,OP015,GI Sheet,730,713,17,96,Mechanical Failure,95.6,2.33,696,17,1.6,August,3,35,Monday,High
PRD00085,2025-12-04,Pickling Line,B,MC020,OP002,HR Coil,2287,2266,21,42,Scheduled Maintenance,95.9,0.92,2245,21,0.7,December,4,49,Thursday,High
PRD00086,2025-02-22,Cut-To-Length Line,C,MC010,OP013,GI Sheet,2255,2220,35,59,Material Shortage,91.1,1.55,2185,35,0.98,February,1,8,Saturday,Medium
PRD00087,2025-10-07,Slitting Line,A,MC012,OP002,GP Coil,2486,2435,51,35,Scheduled Maintenance,96.2,2.05,2384,51,0.58,October,4,41,Tuesday,High
PRD00088,2025-08-05,Rolling Line,A,MC019,OP017,HR Coil,1501,1471,30,62,Material Shortage,94.4,2.0,1441,30,1.03,August,3,32,Tuesday,Medium
PRD00089,2025-09-09,Pickling Line,B,MC009,OP002,CR Coil,2343,2309,34,53,Scheduled Maintenance,93.4,1.45,2275,34,0.88,September,3,37,Tuesday,Medium
PRD00090,2025-07-07,Finishing Line,B,MC004,OP015,Steel Plate,1078,1015,63,28,Tool Change,96.2,5.84,952,63,0.47,July,3,28,Monday,High
PRD00091,2025-02-10,Slitting Line,A,MC015,Unknown,Steel Plate,1252,1177,75,21,Tool Change,99.0,5.99,1102,75,0.35,February,1,7,Monday,High
PRD00092,2025-06-06,Pickling Line,C,MC007,OP025,CR Sheet,2058,1984,74,43,Quality Inspection,91.8,3.6,1910,74,0.72,June,2,23,Friday,Medium
PRD00093,2025-01-15,Finishing Line,B,MC005,OP016,GP Coil,654,641,13,18,Mechanical Failure,94.7,1.99,628,13,0.3,January,1,3,Wednesday,Medium
PRD00094,2025-10-28,Cut-To-Length Line,C,MC019,OP011,HR Sheet,2077,1998,79,87,Power Failure,93.7,3.8,1919,79,1.45,October,4,44,Tuesday,Medium
PRD00095,2025-03-06,Cut-To-Length Line,A,MC015,OP012,GP Coil,2059,2019,40,67,Material Shortage,92.8,1.94,1979,40,1.12,March,1,10,Thursday,Medium
PRD00096,2025-12-11,Pickling Line,C,MC006,OP009,CR Sheet,818,794,24,24,Tool Change,93.5,2.93,770,24,0.4,December,4,50,Thursday,Medium
PRD00097,2025-11-23,Finishing Line,C,MC020,OP007,HR Sheet,2398,2328,70,23,Tool Change,91.4,2.92,2258,70,0.38,November,4,47,Sunday,Medium
PRD00098,2025-01-09,Cut-To-Length Line,C,MC015,OP011,HR Coil,1531,1516,15,71,Quality Inspection,88.5,0.98,1501,15,1.18,January,1,2,Thursday,Low
PRD00099,2025-12-10,Finishing Line,B,MC017,OP019,HR Sheet,1915,1845,70,29,Mechanical Failure,99.0,3.66,1775,70,0.48,December,4,50,Wednesday,High
PRD00100,2025-05-09,Cut-To-Length Line,B,MC019,OP024,CR Coil,1954,1940,14,45,Mechanical Failure,93.9,0.72,1926,14,0.75,May,2,19,Friday,Medium
PRD00101,2025-05-16,Cut-To-Length Line,B,MC003,OP004,Steel Plate,2308,2186,122,68,Tool Change,95.7,5.29,2064,122,1.13,May,2,20,Friday,High
PRD00102,2025-03-04,Slitting Line,C,MC018,OP029,HR Coil,1556,1529,27,48,Mechanical Failure,96.3,1.74,1502,27,0.8,March,1,10,Tuesday,High
PRD00103,2025-05-19,Slitting Line,C,MC010,OP005,Steel Strip,1907,1895,12,49,Mechanical Failure,91.7,0.63,1883,12,0.82,May,2,21,Monday,Medium
PRD00104,2025-03-22,Cut-To-Length Line,A,MC015,OP026,Steel Strip,1533,1480,53,61,Quality Inspection,97.5,3.46,1427,53,1.02,March,1,12,Saturday,High
PRD00105,2025-06-12,Slitting Line,C,MC018,OP021,Steel Strip,1891,1794,97,88,Tool Change,93.4,5.13,1697,97,1.47,June,2,24,Thursday,Medium
PRD00106,2025-10-16,Pickling Line,C,MC015,OP002,HR Coil,2264,2200,64,102,Quality Inspection,92.0,2.83,2136,64,1.7,October,4,42,Thursday,Medium
PRD00107,2025-09-18,Slitting Line,B,MC019,OP016,CR Sheet,2174,2118,56,66,Mechanical Failure,90.0,2.58,2062,56,1.1,September,3,38,Thursday,Low
PRD00108,2025-08-19,Finishing Line,A,MC020,OP009,HR Coil,1997,1964,33,18,Power Failure,93.8,1.65,1931,33,0.3,August,3,34,Tuesday,Medium
PRD00109,2025-02-10,Rolling Line,C,MC005,OP015,CR Sheet,2031,1978,53,104,Material Shortage,90.0,2.61,1925,53,1.73,February,1,7,Monday,Low
PRD00110,2025-01-28,Finishing Line,B,MC011,OP030,GI Sheet,550,532,18,18,Material Shortage,95.0,3.27,514,18,0.3,January,1,5,Tuesday,Medium
PRD00111,2025-05-15,Cut-To-Length Line,C,MC009,OP022,HR Sheet,1492,1462,30,58,Quality Inspection,97.3,2.01,1432,30,0.97,May,2,20,Thursday,High
PRD00112,2025-07-20,Rolling Line,C,MC005,OP014,HR Coil,990,970,20,65,Mechanical Failure,95.1,2.02,950,20,1.08,July,3,29,Sunday,High
PRD00113,2025-11-24,Pickling Line,A,MC011,OP016,Steel Strip,2149,2072,77,15,Quality Inspection,94.5,3.58,1995,77,0.25,November,4,48,Monday,Medium
PRD00114,2025-09-25,Slitting Line,B,MC007,OP006,HR Sheet,2363,2282,81,0,Material Shortage,89.6,3.43,2201,81,0.0,September,3,39,Thursday,Low
PRD00115,2025-02-02,Slitting Line,B,MC002,OP001,CR Sheet,1168,1131,37,35,Mechanical Failure,96.3,3.17,1094,37,0.58,February,1,5,Sunday,High
PRD00116,2025-02-17,Slitting Line,C,MC020,OP018,HR Coil,1985,1947,38,31,Tool Change,94.7,1.91,1909,38,0.52,February,1,8,Monday,Medium
PRD00117,2025-03-03,Rolling Line,A,MC020,OP015,Steel Strip,1095,1052,43,54,Tool Change,99.0,3.93,1009,43,0.9,March,1,10,Monday,High
PRD00118,2025-08-04,Finishing Line,A,MC019,OP020,Steel Strip,1813,1772,41,35,Mechanical Failure,96.5,2.26,1731,41,0.58,August,3,32,Monday,High
PRD00119,2025-10-20,Rolling Line,C,MC018,OP012,HR Sheet,2395,2372,23,51,Quality Inspection,88.8,0.96,2349,23,0.85,October,4,43,Monday,Low
PRD00120,2025-04-09,Cut-To-Length Line,A,MC016,OP029,HR Coil,2153,2097,56,29,Material Shortage,96.7,2.6,2041,56,0.48,April,2,15,Wednesday,High
PRD00121,2025-06-21,Slitting Line,C,MC001,OP024,HR Sheet,894,879,15,67,Tool Change,87.1,1.68,864,15,1.12,June,2,25,Saturday,Low
PRD00122,2025-12-26,Cut-To-Length Line,A,MC003,OP008,HR Coil,1659,1637,22,55,Mechanical Failure,97.5,1.33,1615,22,0.92,December,4,52,Friday,High
PRD00123,2025-08-02,Slitting Line,B,MC009,OP009,GI Sheet,2292,2206,86,32,Material Shortage,91.5,3.75,2120,86,0.53,August,3,31,Saturday,Medium
PRD00124,2025-02-04,Cut-To-Length Line,B,MC017,OP001,GP Coil,2318,2306,12,55,Mechanical Failure,92.0,0.52,2294,12,0.92,February,1,6,Tuesday,Medium
PRD00125,2025-08-15,Cut-To-Length Line,B,MC008,OP016,Steel Strip,1730,1659,71,82,Tool Change,96.2,4.1,1588,71,1.37,August,3,33,Friday,High
PRD00126,2025-04-11,Cut-To-Length Line,C,MC016,OP014,CR Sheet,1382,1363,19,57,Power Failure,91.8,1.37,1344,19,0.95,April,2,15,Friday,Medium
PRD00127,2025-05-11,Rolling Line,A,MC012,OP012,GI Sheet,1700,1648,52,79,Material Shortage,98.8,3.06,1596,52,1.32,May,2,19,Sunday,High
PRD00128,2025-09-14,Cut-To-Length Line,B,MC004,OP015,HR Sheet,1287,1254,33,59,Material Shortage,95.0,2.56,1221,33,0.98,September,3,37,Sunday,Medium
PRD00129,2025-01-05,Slitting Line,B,MC005,OP027,HR Coil,721,710,11,50,Scheduled Maintenance,97.0,1.53,699,11,0.83,January,1,1,Sunday,High
PRD00130,2025-08-06,Rolling Line,B,MC007,OP028,CR Sheet,1384,1343,41,58,Material Shortage,95.4,2.96,1302,41,0.97,August,3,32,Wednesday,High
PRD00131,2025-09-12,Slitting Line,B,MC018,OP008,HR Sheet,546,534,12,11,Power Failure,92.0,2.2,522,12,0.18,September,3,37,Friday,Medium
PRD00132,2025-12-25,Pickling Line,A,MC020,OP004,CR Sheet,777,772,5,54,Quality Inspection,98.3,0.64,767,5,0.9,December,4,52,Thursday,High
PRD00133,2025-10-10,Pickling Line,C,MC014,OP027,HR Sheet,1984,1924,60,32,Material Shortage,89.5,3.02,1864,60,0.53,October,4,41,Friday,Low
PRD00134,2025-07-26,Cut-To-Length Line,B,MC008,OP005,GP Coil,2009,1992,17,67,Tool Change,95.9,0.85,1975,17,1.12,July,3,30,Saturday,High
PRD00135,2025-01-15,Slitting Line,A,MC013,OP026,GI Sheet,1994,1882,112,20,Mechanical Failure,99.0,5.62,1770,112,0.33,January,1,3,Wednesday,High
PRD00136,2025-12-12,Slitting Line,B,MC004,OP021,HR Sheet,1545,1504,41,61,Quality Inspection,94.4,2.65,1463,41,1.02,December,4,50,Friday,Medium
PRD00137,2025-02-11,Rolling Line,A,MC012,OP014,CR Sheet,1718,1681,37,54,Quality Inspection,97.5,2.15,1644,37,0.9,February,1,7,Tuesday,High
PRD00138,2025-06-28,Cut-To-Length Line,A,MC003,OP027,CR Coil,2161,2108,53,52,Tool Change,93.8,2.45,2055,53,0.87,June,2,26,Saturday,Medium
PRD00139,2025-03-04,Pickling Line,A,MC005,OP007,CR Coil,834,821,13,29,Material Shortage,96.8,1.56,808,13,0.48,March,1,10,Tuesday,High
PRD00140,2025-12-18,Slitting Line,A,MC004,OP015,HR Coil,1765,1756,9,65,Quality Inspection,95.6,0.51,1747,9,1.08,December,4,51,Thursday,High
PRD00141,2025-08-19,Cut-To-Length Line,A,MC015,OP019,HR Coil,1600,1568,32,70,Tool Change,98.1,2.0,1536,32,1.17,August,3,34,Tuesday,High
PRD00142,2025-08-29,Pickling Line,B,MC005,OP021,Steel Plate,1602,1519,83,26,Material Shortage,93.7,5.18,1436,83,0.43,August,3,35,Friday,Medium
PRD00143,2025-02-21,Pickling Line,B,MC009,OP014,HR Sheet,1835,1797,38,100,Tool Change,95.8,2.07,1759,38,1.67,February,1,8,Friday,High
PRD00144,2025-04-06,Pickling Line,B,MC014,OP007,HR Sheet,521,502,19,30,Material Shortage,91.2,3.65,483,19,0.5,April,2,14,Sunday,Medium
PRD00145,2025-08-10,Cut-To-Length Line,A,MC016,OP006,CR Coil,2239,2210,29,38,Tool Change,93.4,1.3,2181,29,0.63,August,3,32,Sunday,Medium
PRD00146,2025-08-19,Cut-To-Length Line,C,MC003,OP002,CR Sheet,1123,1101,22,70,Power Failure,91.9,1.96,1079,22,1.17,August,3,34,Tuesday,Medium
PRD00147,2025-08-25,Slitting Line,C,MC015,OP024,GP Coil,2463,2446,17,70,Material Shortage,93.1,0.69,2429,17,1.17,August,3,35,Monday,Medium
PRD00148,2025-05-23,Rolling Line,C,MC018,OP029,HR Sheet,580,564,16,83,Tool Change,90.9,2.76,548,16,1.38,May,2,21,Friday,Medium
PRD00149,2025-06-20,Rolling Line,B,MC018,OP025,CR Sheet,1005,964,41,90,Power Failure,96.9,4.08,923,41,1.5,June,2,25,Friday,High
PRD00150,2025-01-29,Cut-To-Length Line,B,MC014,OP009,GP Coil,2419,2393,26,64,Quality Inspection,97.5,1.07,2367,26,1.07,January,1,5,Wednesday,High
PRD00151,2025-02-05,Finishing Line,A,MC007,OP025,Steel Strip,944,900,44,14,Power Failure,98.2,4.66,856,44,0.23,February,1,6,Wednesday,High
PRD00152,2025-01-13,Slitting Line,C,MC020,OP018,CR Sheet,2413,2336,77,48,Power Failure,93.4,3.19,2259,77,0.8,January,1,3,Monday,Medium
PRD00153,2025-06-09,Rolling Line,A,MC006,OP015,Steel Strip,1491,1420,71,119,Mechanical Failure,97.2,4.76,1349,71,1.98,June,2,24,Monday,High
PRD00154,2025-11-23,Cut-To-Length Line,A,MC016,OP015,Steel Plate,1952,1837,115,100,Mechanical Failure,93.4,5.89,1722,115,1.67,November,4,47,Sunday,Medium
PRD00155,2025-07-06,Finishing Line,B,MC019,OP010,CR Coil,668,665,3,28,Tool Change,93.1,0.45,662,3,0.47,July,3,27,Sunday,Medium
PRD00156,2025-08-31,Finishing Line,B,MC009,OP003,GI Sheet,549,526,23,33,Material Shortage,94.7,4.19,503,23,0.55,August,3,35,Sunday,Medium
PRD00157,2025-03-27,Cut-To-Length Line,B,MC020,OP004,CR Sheet,1853,1806,47,76,Mechanical Failure,94.4,2.54,1759,47,1.27,March,1,13,Thursday,Medium
PRD00158,2025-10-11,Finishing Line,A,MC001,OP002,GI Sheet,2272,2203,69,16,Material Shortage,94.5,3.04,2134,69,0.27,October,4,41,Saturday,Medium
PRD00159,2025-03-07,Rolling Line,B,MC018,OP022,GP Coil,2206,2190,16,112,Material Shortage,93.8,0.73,2174,16,1.87,March,1,10,Friday,Medium
